#OTU ID	SRR8534033_V4	SRR8534034_V4	SRR8534035_V4	SRR8534036_V4	SRR8534037_V4	SRR8534038_V4	SRR8534039_V4	SRR8534040_V4	SRR8534041_V4	SRR8534042_V4	SRR8534043_V4	SRR8534044_V4	SRR8534045_V4	SRR8534046_V4	SRR8534047_V4	SRR8534048_V4	SRR8534049_V4	SRR8534050_V4	SRR8534051_V4	SRR8534052_V4	SRR8534053_V4	SRR8534054_V4	SRR8534055_V4	SRR8534056_V4	SRR8534057_V4	SRR8534058_V4	SRR8534059_V4	SRR8534060_V4	SRR8534061_V4	SRR8534062_V4	SRR8534063_V4	SRR8534064_V4	SRR8534065_V4	SRR8534066_V4	SRR8534067_V4	SRR8534068_V4	SRR8534069_V4	SRR8534070_V4	SRR8534071_V4	SRR8534072_V4	SRR8534073_V4	SRR8534074_V4	SRR8534075_V4	SRR8534076_V4	SRR8534077_V4	SRR8534079_V4	SRR8534080_V4	SRR8534081_V4	SRR8534082_V4	SRR8534083_V4	SRR8534084_V4	SRR8534085_V4	SRR8534086_V4	SRR8534087_V4	SRR8534088_V4	SRR8534089_V4	SRR8534090_V4	SRR8534091_V4	SRR8534092_V4	SRR8534093_V4	SRR8534094_V4	SRR8534095_V4	SRR8534096_V4	SRR8534097_V4	SRR8534098_V4	SRR8534099_V4	SRR8534100_V4	SRR8534101_V4	SRR8534102_V4	SRR8534103_V4	SRR8534104_V4	SRR8534105_V4	SRR8534106_V4	SRR8534107_V4	SRR8534108_V4	SRR8534109_V4	SRR8534110_V4	SRR8534111_V4	SRR8534112_V4	SRR8534113_V4	SRR8534114_V4	SRR8534115_V4	SRR8534116_V4	SRR8534117_V4	SRR8534118_V4	SRR8534119_V4	SRR8534120_V4	SRR8534121_V4	SRR8534122_V4	SRR8534123_V4	SRR8534124_V4	SRR8534125_V4	SRR8534126_V4	SRR8534127_V4	SRR8534128_V4	SRR8534131_V4	SRR8534133_V4	SRR8534135_V4	SRR8534136_V4	SRR8534137_V4	SRR8534138_V4	SRR8534139_V4	SRR8534140_V4	SRR8534141_V4	SRR8534142_V4	SRR8534143_V4	SRR8534144_V4	SRR8534145_V4	SRR8534146_V4	SRR8534147_V4	SRR8534148_V4	SRR8534149_V4	SRR8534151_V4	SRR8534152_V4	SRR8534153_V4	SRR8534154_V4	SRR8534155_V4	SRR8534156_V4	SRR8534157_V4	SRR8534158_V4	SRR8534159_V4	SRR8534160_V4	SRR8534161_V4	SRR8534162_V4	SRR8534163_V4	SRR8534164_V4	SRR8534165_V4	SRR8534166_V4	SRR8534167_V4	SRR8534168_V4	SRR8534169_V4	SRR8534170_V4	SRR8534171_V4	SRR8534172_V4	SRR8534173_V4	SRR8534174_V4	SRR8534175_V4	SRR8534176_V4	SRR8534177_V4	SRR8534178_V4	SRR8534179_V4	SRR8534180_V4	SRR8534181_V4	SRR8534182_V4	SRR8534183_V4	SRR8534184_V4	SRR8534185_V4	SRR8534186_V4	SRR8534187_V4	SRR8534188_V4	SRR8534189_V4	SRR8534190_V4	SRR8534191_V4	SRR8534192_V4	SRR8534193_V4	SRR8534194_V4	SRR8534195_V4	SRR8534196_V4	SRR8534197_V4	SRR8534198_V4	SRR8534199_V4	SRR8534200_V4	SRR8534201_V4	SRR8534202_V4	SRR8534203_V4	SRR8534204_V4	SRR8534205_V4	SRR8534206_V4	SRR8534207_V4	SRR8534208_V4	SRR8534209_V4	SRR8534210_V4	SRR8534211_V4	SRR8534212_V4	SRR8534213_V4	SRR8534214_V4	SRR8534215_V4	SRR8534216_V4	SRR8534217_V4	SRR8534218_V4	SRR8534219_V4	SRR8534220_V4	SRR8534221_V4	SRR8534222_V4	SRR8534223_V4	SRR8534224_V4	SRR8534225_V4	SRR8534226_V4	SRR8534229_V4	SRR8534230_V4	SRR8534231_V4	SRR8534232_V4	SRR8534233_V4	SRR8534234_V4	SRR8534235_V4	SRR8534236_V4	SRR8534237_V4	SRR8534238_V4	SRR8534239_V4	SRR8534240_V4	SRR8534241_V4	SRR8534242_V4	SRR8534243_V4	SRR8534244_V4	SRR8534245_V4	SRR8534246_V4	SRR8534247_V4	SRR8534248_V4	SRR8534249_V4	SRR8534250_V4	SRR8534251_V4	SRR8534252_V4	SRR8534253_V4	SRR8534254_V4
Zotu1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	11	16	14	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1009	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	2	0	0	0	0	2	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	9	4	0	0	0	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Zotu101	0	0	14	29	0	0	21	0	0	0	0	1	0	1	0	0	1	0	8	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	248	0	0	0	3654	731	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	818	473	11	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1157	10	0	0	0	0	591	456	0	0	1	0	0	214	0	0	0	0	0	0	0	1083	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	467	0	0	678	0	0	0	0	0	1	0	1	0	0	0	0	2	0	17	248	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	360	2	470	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Zotu1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu1013	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1014	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	63	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
